34.361	0	565
34.305335	0.043295	565
34.160675	0.169743	565
33.957258	0.356324	565
33.699551	0.565582	565
33.368311	0.773122	565
32.946701	0.980319	565
32.433004	1.194388	565
31.831687	1.414299	565
31.145154	1.638332	565
30.377186	1.864771	565
29.532249	2.092241	565
28.61481	2.319024	565
27.630367	2.543401	565
26.584762	2.763999	565
25.484179	2.979442	565
24.335491	3.18767	565
23.14557	3.387651	565
21.921631	3.577667	565
20.67089	3.757375	565
19.401939	3.925744	565
18.123366	4.08243	565
16.84548	4.227434	565
15.579277	4.358006	565
14.335753	4.47071	565
13.123497	4.560048	565
11.949725	4.620524	565
10.819592	4.647669	565
9.740313	4.640453	565
8.717386	4.585819	565
7.745313	4.479644	565
6.819284	4.327424	565
5.939642	4.132254	565
5.107075	3.901692	565
4.326394	3.641579	565
3.60172	3.35707	565
2.936147	3.050913	565
2.332768	2.728263	565
1.794675	2.393244	565
1.324617	2.050664	565
0.925685	1.706367	565
0.603036	1.361039	565
0.353231	1.015024	565
0.170087	0.676568	565
0.05326	0.354949	565
0.001718	0.061163	565
