0.404250	14.391300
3.557400	-45.356850
21.344400	-90.552000
63.790650	-115.372950
138.900300	-125.317500
243.035100	-128.066400
374.092950	-123.862200
530.456850	-113.513400
710.428950	-97.181700
912.149700	-74.786250
1133.517000	-45.518550
1374.935100	-6.063750
1639.476300	43.254750
1927.464000	98.071050
2237.362050	155.878800
2566.987500	214.414200
2914.157400	271.494300
3275.961150	325.097850
3649.488150	373.365300
4031.181000	414.679650
4417.563150	447.423900
4804.753800	470.547000
5188.629600	483.159600
5565.067200	484.614900
5929.862400	474.751200
6278.811000	453.730200
6607.789650	421.956150
6912.675000	380.480100
7189.828800	330.514800
7435.451100	273.838950
7646.227050	212.150400
7817.629050	147.308700
7943.916750	85.701000
8025.817800	37.837800
8070.851250	9.297750
8085.000000	0.000000
