0.001718	0.061163	565
0.015119	-0.192765	565
0.090713	-0.384843	565
0.271108	-0.490331	565
0.590322	-0.532595	565
1.032892	-0.544278	565
1.589883	-0.526411	565
2.254425	-0.482428	565
3.019301	-0.413019	565
3.876608	-0.317839	565
4.817412	-0.193452	565
5.843432	-0.025771	565
6.967724	0.183831	565
8.191662	0.416799	565
9.50872	0.66248	565
10.909617	0.911254	565
12.385079	1.153842	565
13.922734	1.381656	565
15.510212	1.586791	565
17.132395	1.762376	565
18.774507	1.901538	565
20.420055	1.99981	565
22.051515	2.053413	565
23.651364	2.059598	565
25.201732	2.017678	565
26.684753	1.928339	565
28.082902	1.793301	565
29.378655	1.617029	565
30.55655	1.404678	565
31.600437	1.163807	565
32.496229	0.901633	565
33.224682	0.626057	565
33.761401	0.364227	565
34.109477	0.160809	565
34.300868	0.039515	565
34.361	0	565
